Date,Open,High,Low,Close,Adj Close,Volume
2024-01-12,1505.000000,1555.000000,1498.500000,1540.800049,1497.270142,5862043
2024-01-15,1610.000000,1619.599976,1575.500000,1588.199951,1543.331055,9712071
2024-01-16,1587.000000,1587.000000,1538.000000,1555.449951,1511.506348,4459799
2024-01-17,1520.000000,1585.000000,1516.550049,1575.900024,1531.378540,3846289
2024-01-18,1577.000000,1584.199951,1537.050049,1567.550049,1523.264526,3205598
2024-01-19,1570.000000,1590.000000,1558.050049,1567.949951,1535.406982,2374099
2024-01-23,1558.900024,1567.900024,1517.050049,1523.650024,1492.026611,3196630
2024-01-24,1530.099976,1581.199951,1523.699951,1576.400024,1543.681763,2136023
2024-01-25,1570.000000,1570.000000,1536.750000,1550.250000,1518.074463,2641656
2024-01-29,1565.000000,1588.599976,1550.250000,1574.550049,1541.870117,2521598
2024-01-30,1580.000000,1592.449951,1555.000000,1559.300049,1526.936768,1939386
2024-01-31,1559.300049,1581.300049,1546.349976,1576.000000,1543.290039,7025931
2024-02-01,1576.000000,1597.000000,1566.349976,1577.400024,1544.661011,2845408
2024-02-02,1584.800049,1613.900024,1575.000000,1583.750000,1550.879272,2337374
2024-02-05,1584.949951,1588.500000,1551.449951,1555.349976,1523.068604,1452864
2024-02-06,1566.000000,1627.000000,1558.050049,1623.750000,1590.048950,4988311
2024-02-07,1628.000000,1629.900024,1598.949951,1615.349976,1581.823364,3320199
2024-02-08,1626.000000,1647.699951,1617.300049,1633.800049,1599.890503,3496692
2024-02-09,1640.000000,1646.750000,1614.650024,1630.599976,1596.756714,3341297
2024-02-12,1639.000000,1685.000000,1639.000000,1666.949951,1632.352417,4885445
2024-02-13,1675.000000,1675.000000,1648.599976,1665.599976,1631.030396,3129897
2024-02-14,1649.750000,1676.900024,1625.449951,1671.500000,1636.807983,1386643
2024-02-15,1678.000000,1696.500000,1650.099976,1662.550049,1628.043701,2555162
2024-02-16,1675.000000,1677.000000,1650.050049,1667.449951,1632.841919,1776881
2024-02-19,1670.000000,1682.949951,1659.650024,1675.250000,1640.480103,762624
2024-02-20,1661.000000,1672.750000,1645.000000,1663.050049,1628.533447,2240414
2024-02-21,1655.550049,1664.800049,1632.050049,1636.300049,1602.338501,2890991
2024-02-22,1644.000000,1691.400024,1639.000000,1686.400024,1651.398682,3820901
2024-02-23,1697.000000,1697.349976,1663.449951,1665.750000,1631.177246,2191549
2024-02-26,1665.750000,1668.849976,1639.500000,1649.800049,1615.558472,1844253
